NAME,DATE,SEASON,TM,OPP,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,QREB,DREB,TOV,PF,+/-
LeBron James,4/14/24,2023-24,LAL,NOP,38,28,11,17,5,1,11,20,55,0,2,0,6,6,100,61.8,2,9,4,0,19
LeBron James,4/12/24,2023-24,LAL,MEM,41,37,9,5,2,0,13,20,65,3,7,42.9,8,11,72.7,74.5,2,7,8,1,-3
LeBron James,4/9/24,2023-24,LAL,GSW,36,33,7,11,2,0,14,22,63.6,1,3,33.3,4,5,80,68.2,1,6,4,0,-6
LeBron James,4/6/24,2023-24,LAL,CLE,36,24,5,12,1,1,10,18,55.6,1,5,20,3,5,60,59.4,0,5,5,1,10
LeBron James,4/3/24,2023-24,LAL,WAS,36,25,7,9,3,0,9,18,50,0,1,0,7,9,77.8,56.9,2,5,4,2,9
LeBron James,4/2/24,2023-24,LAL,TOR,29,23,4,9,0,0,10,12,83.3,1,1,100,2,5,40,81,0,4,1,0,13
LeBron James,3/31/24,2023-24,LAL,BKN,37,40,7,5,0,0,13,17,76.5,9,10,90,5,6,83.3,101.8,1,6,4,0,22
LeBron James,3/29/24,2023-24,LAL,IND,35,16,10,8,0,0,6,12,50,0,3,0,4,4,100,58.1,1,9,5,1,-13
LeBron James,3/27/24,2023-24,LAL,MEM,35,23,14,12,1,0,8,14,57.1,0,1,0,7,11,63.6,61,0,14,4,1,33
LeBron James,3/24/24,2023-24,LAL,IND,38,26,5,10,1,1,8,19,42.1,2,4,50,8,8,100,57.7,1,4,3,1,12
LeBron James,3/22/24,2023-24,LAL,PHI,38,20,8,6,0,1,7,15,46.7,1,3,33.3,5,7,71.4,55.3,0,8,8,1,7
LeBron James,3/18/24,2023-24,LAL,ATL,29,25,7,10,0,0,10,14,71.4,2,5,40,3,3,100,81.6,0,7,2,0,20
LeBron James,3/16/24,2023-24,LAL,GSW,38,40,8,9,1,1,15,23,65.2,3,5,60,7,8,87.5,75.4,3,5,4,1,-6
LeBron James,3/13/24,2023-24,LAL,SAC,40,18,13,9,2,0,6,16,37.5,2,8,25,4,6,66.7,48.3,1,12,5,3,-10
LeBron James,3/10/24,2023-24,LAL,MIN,38,29,8,9,0,0,10,16,62.5,2,4,50,7,9,77.8,72.6,0,8,4,1,14
LeBron James,3/6/24,2023-24,LAL,SAC,36,31,5,13,1,0,10,16,62.5,1,4,25,10,10,100,76,0,5,3,0,-3
LeBron James,3/4/24,2023-24,LAL,OKC,31,19,11,8,1,0,7,14,50,1,3,33.3,4,5,80,58.6,1,10,3,1,14
LeBron James,3/2/24,2023-24,LAL,DEN,37,26,4,9,3,0,12,20,60,2,5,40,0,2,0,62.3,0,4,3,1,-1
LeBron James,2/29/24,2023-24,LAL,WAS,39,31,4,9,1,1,12,24,50,2,5,40,5,7,71.4,57.2,0,4,4,1,-5
LeBron James,2/28/24,2023-24,LAL,LAC,37,34,6,8,0,2,13,21,61.9,7,12,58.3,1,1,100,79.3,1,5,3,2,11
LeBron James,2/25/24,2023-24,LAL,PHX,37,28,7,12,2,1,12,19,63.2,3,6,50,1,4,25,67.4,1,6,3,3,-8
LeBron James,2/23/24,2023-24,LAL,SAS,34,30,7,9,1,0,13,22,59.1,2,3,66.7,2,2,100,65.6,1,6,2,0,21
LeBron James,2/13/24,2023-24,LAL,DET,31,25,1,8,0,0,9,15,60,3,6,50,4,4,100,74.6,0,1,4,0,9
LeBron James,2/9/24,2023-24,LAL,NOP,38,21,4,14,1,1,6,13,46.2,2,2,100,7,8,87.5,63.6,1,3,2,2,15
LeBron James,2/8/24,2023-24,LAL,DEN,35,25,9,7,1,1,9,20,45,2,6,33.3,5,5,100,56.3,1,8,2,0,-6
LeBron James,2/5/24,2023-24,LAL,CHA,40,26,4,7,1,1,12,22,54.5,0,5,0,2,3,66.7,55.7,0,4,4,2,2
LeBron James,2/3/24,2023-24,LAL,NYK,40,24,5,5,2,1,10,19,52.6,2,5,40,2,2,100,60.4,1,4,1,1,11
LeBron James,1/30/24,2023-24,LAL,ATL,36,20,9,8,1,1,7,17,41.2,2,6,33.3,4,9,44.4,47.7,2,7,3,1,-6
LeBron James,1/29/24,2023-24,LAL,HOU,37,23,6,10,1,1,9,15,60,2,5,40,3,8,37.5,62.1,0,6,1,4,-11
LeBron James,1/27/24,2023-24,LAL,GSW,48,36,20,12,0,0,14,25,56,2,4,50,6,6,100,65.1,1,19,3,2,-6
LeBron James,1/25/24,2023-24,LAL,CHI,36,25,4,12,2,0,10,19,52.6,3,4,75,2,2,100,62.9,0,4,5,2,14
LeBron James,1/21/24,2023-24,LAL,POR,31,28,5,5,0,0,8,16,50,3,8,37.5,9,10,90,68.6,0,5,3,2,28
LeBron James,1/19/24,2023-24,LAL,BKN,34,24,11,5,0,0,9,22,40.9,2,5,40,4,5,80,49.6,5,6,4,1,-13
LeBron James,1/17/24,2023-24,LAL,DAL,33,25,8,8,1,0,10,19,52.6,3,7,42.9,2,2,100,62.9,1,7,3,1,20
LeBron James,1/15/24,2023-24,LAL,OKC,39,25,7,6,0,0,12,20,60,1,2,50,0,1,0,61.2,0,7,5,1,2
LeBron James,1/11/24,2023-24,LAL,PHX,24,10,5,9,1,0,3,11,27.3,0,4,0,4,7,57.1,35.5,0,5,4,1,-25
LeBron James,1/9/24,2023-24,LAL,TOR,35,22,5,12,1,1,8,17,47.1,2,5,40,4,6,66.7,56,0,5,3,0,0
LeBron James,1/7/24,2023-24,LAL,LAC,38,25,8,7,1,0,11,19,57.9,1,3,33.3,2,3,66.7,61.5,1,7,4,2,5
LeBron James,1/5/24,2023-24,LAL,MEM,39,32,5,7,5,0,11,24,45.8,4,9,44.4,6,10,60,56.3,2,3,4,0,-8
LeBron James,1/3/24,2023-24,LAL,MIA,38,12,6,9,0,0,6,18,33.3,0,6,0,0,0,,33.3,0,6,2,2,-20
LeBron James,12/31/23,2023-24,LAL,NOP,37,34,5,8,0,1,12,24,50,3,7,42.9,7,8,87.5,61.8,0,5,4,2,-11
LeBron James,12/30/23,2023-24,LAL,MIN,39,26,3,6,3,1,10,21,47.6,1,4,25,5,7,71.4,54,0,3,1,2,-5
LeBron James,12/28/23,2023-24,LAL,CHA,25,17,4,11,0,0,7,13,53.8,2,5,40,1,1,100,63.2,0,4,3,0,1
LeBron James,12/25/23,2023-24,LAL,BOS,37,16,9,8,0,0,5,14,35.7,1,2,50,5,6,83.3,48.1,0,9,3,1,-11
LeBron James,12/23/23,2023-24,LAL,OKC,37,40,7,7,2,2,13,20,65,5,5,100,9,9,100,83.5,2,5,3,0,10
LeBron James,12/20/23,2023-24,LAL,CHI,37,25,10,9,1,2,10,18,55.6,1,3,33.3,4,4,100,63.3,2,8,5,0,-11
LeBron James,12/18/23,2023-24,LAL,NYK,39,25,11,11,1,0,10,23,43.5,2,8,25,3,4,75,50.5,1,10,2,1,-13
LeBron James,12/15/23,2023-24,LAL,SAS,36,23,7,14,2,0,7,17,41.2,2,6,33.3,7,10,70,53.7,2,5,2,1,-28
LeBron James,12/12/23,2023-24,LAL,DAL,40,33,8,9,3,1,14,27,51.9,3,8,37.5,2,3,66.7,58.3,2,6,4,1,-4
LeBron James,12/7/23,2023-24,LAL,NOP,23,30,5,8,0,0,9,12,75,4,4,100,8,8,100,96.6,0,5,0,1,36
LeBron James,12/5/23,2023-24,LAL,PHX,40,31,8,11,5,0,12,25,48,2,4,50,5,6,83.3,56.1,3,5,2,3,12
LeBron James,12/2/23,2023-24,LAL,HOU,35,16,4,7,1,1,7,17,41.2,0,4,0,2,5,40,41.7,0,4,5,0,16
LeBron James,11/30/23,2023-24,LAL,OKC,35,21,12,6,1,1,7,12,58.3,4,8,50,3,4,75,76.3,2,10,5,1,-18
LeBron James,11/29/23,2023-24,LAL,DET,29,25,8,3,0,0,9,19,47.4,2,6,33.3,5,5,100,59,2,6,1,0,26
LeBron James,11/27/23,2023-24,LAL,PHI,30,18,0,5,1,1,8,12,66.7,1,1,100,1,2,50,69.9,0,0,1,0,-30
LeBron James,11/25/23,2023-24,LAL,CLE,36,22,6,6,2,2,8,23,34.8,1,9,11.1,5,7,71.4,42.2,1,5,4,1,2
LeBron James,11/22/23,2023-24,LAL,DAL,36,26,9,7,0,0,9,19,47.4,4,9,44.4,4,7,57.1,58.9,2,7,3,0,7
LeBron James,11/21/23,2023-24,LAL,UTA,24,17,7,9,0,0,6,10,60,3,5,60,2,2,100,78.1,1,6,2,0,14
LeBron James,11/19/23,2023-24,LAL,HOU,40,37,6,8,3,0,14,19,73.7,2,5,40,7,9,77.8,80.6,1,5,2,0,2
LeBron James,11/17/23,2023-24,LAL,POR,35,35,5,9,2,0,13,22,59.1,5,9,55.6,4,6,66.7,71,0,5,3,3,18
LeBron James,11/15/23,2023-24,LAL,SAC,35,28,10,12,4,1,9,15,60,3,7,42.9,7,8,87.5,75.6,2,8,6,1,0
LeBron James,11/14/23,2023-24,LAL,MEM,23,16,9,6,1,0,6,11,54.5,3,6,50,1,2,50,67.3,0,9,4,1,15
LeBron James,11/10/23,2023-24,LAL,PHX,36,32,11,6,1,1,11,17,64.7,3,4,75,7,11,63.6,73.3,1,10,4,1,2
LeBron James,11/8/23,2023-24,LAL,HOU,27,18,6,2,0,0,7,13,53.8,0,2,0,4,5,80,59.2,1,5,3,1,-24
LeBron James,11/6/23,2023-24,LAL,MIA,37,30,4,3,1,3,13,23,56.5,0,4,0,4,4,100,60.6,0,4,5,4,6
LeBron James,11/4/23,2023-24,LAL,ORL,35,24,9,5,3,0,8,15,53.3,2,5,40,6,7,85.7,66.4,1,8,3,1,12
LeBron James,11/1/23,2023-24,LAL,LAC,42,35,12,7,1,2,13,19,68.4,4,8,50,5,10,50,74.8,0,12,4,3,6
LeBron James,10/30/23,2023-24,LAL,ORL,33,19,3,4,3,1,7,17,41.2,2,6,33.3,3,4,75,50.6,0,3,5,0,5
LeBron James,10/29/23,2023-24,LAL,SAC,39,27,15,8,0,0,11,19,57.9,3,8,37.5,2,6,33.3,62.4,0,15,8,2,-5
LeBron James,10/26/23,2023-24,LAL,PHX,35,21,8,9,2,2,7,14,50,1,5,20,6,8,75,59.9,1,7,5,1,22
LeBron James,10/24/23,2023-24,LAL,DEN,29,21,8,5,1,0,10,16,62.5,1,4,25,0,1,0,63.9,1,7,0,1,7